Point,Fokontany,Commune,District,Region
Ambohijafy 19 B,Ambohijafy,Ambatomanga,Arivonimamo,Itasy
Ambohijafy 20 B,Antamboho I,Imerintsiatosika,Arivonimamo,Itasy
Ambohijafy 21 B,Antanambao Lavenona,Miarinavaratra,Fandriana,Amoron I Mania
Ambohijafy 22 B,Andriapitoarivo,Tatamalaza,Fandriana,Amoron I Mania
Ambohijafy 23 C,Soaloka,Firavahana,Fenoarivobe,Bongolava
Ambohijafy 24 C,Ambohijafy,Analavory,Miarinarivo,Itasy
Ambohijafy 25 C,Ampandrilaza,Ampangabe,Ambohidratrimo,Analamanga
Ambohijafy 26 D,Ambatoatsipy,Andranomiady,Faratsiho,Vakinankaratra
Ambohijafy 27 D,Ambohijafy,Ambohitompoina,Antanifotsy,Vakinankaratra
Ambohijafy 28 F,Ambohijafy Nord,Mahazoarivo Avarabohitra,Antsirabe I,Vakinankaratra
Ambohijafy 29 F,Ambohijafy,Mahazony,Ambalavao,Haute Matsiatra
Ambohijafy 30 H,Ambohijafy,Nandihizana,Manjakandriana,Analamanga
Ambohijafy 31 I,Antanety,Bemasoandro,Antananarivo Atsimondrano,Analamanga
Ambohijafy 32 V,Ambohijafy,Fenoarivo,Antananarivo Atsimondrano,Analamanga
Ambohijafy 33 V,Ambohijafy,Andramasina,Andramasina,Analamanga
Ambohijafy 34 V,Ambohinaorina,Ambohitrandriamanitra,Manjakandriana,Analamanga
Ambohijahaka 10 A,Mandiavato,Mandiavato,Miarinarivo,Itasy
Ambohijaly 10 A,Andranomanjaka,Ambohimasina,Betafo,Vakinankaratra
Ambohijaly 11 A,Tsaramiafara,Vinaninony Atsimo,Faratsiho,Vakinankaratra
Ambohijamarina 10 B,Ambodiampalibe,Ampasimbe Onibe,Toamasina II,Atsinanana
Ambohijanadralambo 10 V,Sabotsy Antongona,Morarano,Arivonimamo,Itasy
Ambohijanaharikely 10 B,Ambohijanaharikely,Imerimandroso,Ambatondrazaka,Alaotra Mangoro
Ambohijanahary 10 A,Andranomanjaka,Ambohimasina,Betafo,Vakinankaratra
Ambohijanahary 11 A,Vohitsoa Nord,Mahanoro,Fenerive Est,Analanjirofo
Ambohijanahary 12 B,Matielona,Antohobe,Betafo,Vakinankaratra
Ambohijanahary 13 B,Ambohijanahary,Miadanandriana,Manjakandriana,Analamanga
Ambohijanahary 14 C,Sainte Anne,Alakamisy Ambohimahazo,Fandriana,Amoron I Mania
Ambohijanahary 15 C,Ambohimandroso,Mangamila,Anjozorobe,Analamanga
Ambohijanahary 16 D,Talata Avaradrano,Miantso,Ankazobe,Analamanga
Ambohijanahary 17 D,Manandona,Ambatomanga,Arivonimamo,Itasy
Ambohijanahary 18 D,Ankazondandy,Mahatsinjo Est,Arivonimamo,Itasy
Ambohijanahary 19 V,Antsakambahiny,Antehiroka,Ambohidratrimo,Analamanga
Ambohijanahary 20 V,Ambohijanahary,Ambohijanahary,Amparafaravola,Alaotra Mangoro
Ambohijanaka 10 A,Ambalamarina,Ambatomifanongoa,Ambatofinandrahana,Amoron I Mania
Ambohijanaka 11 A,Maneva,Tsarasaotra,Ambositra,Amoron I Mania
Ambohijanaka 12 A,Mangatany Atsimo,Sadabe,Manjakandriana,Analamanga
Ambohijanaka 13 A,Ambohijanaka,Fitsinjovana Bakaro,Andramasina,Analamanga
Ambohijanaka 14 B,Kelimanefy,Manohisoa,Betafo,Vakinankaratra
Ambohijanaka 15 B,Tsaravavaka,Andranomanelatra,Antsirabe II,Vakinankaratra
Ambohijanaka 16 B,Ambatonaorina,Merimandroso,Ambohidratrimo,Analamanga
Ambohijanaka 17 C,Antanambao,Antsoso,Betafo,Vakinankaratra
Ambohijanaka 18 C,Tsaramandroso,Ihadilanana,Ambositra,Amoron I Mania
Ambohijanaka 19 C,Andavak'ambohimanga,Ambohitromby,Ankazobe,Analamanga
Ambohijanaka 20 C,Mpanjakarivo,Tsarazaza,Fandriana,Amoron I Mania
Ambohijanaka 21 D,Ambohijafy,Andramasina,Andramasina,Analamanga
Ambohijanaka 22 D,Ambohijanaka,Ambohitrony,Manjakandriana,Analamanga
Ambohijanaka 23 E,Ambondromisotra,Ambondromisotra,Ambatofinandrahana,Amoron I Mania
Ambohijanaka 24 F,Amboniriana,Ambatomirahavavy,Arivonimamo,Itasy
Ambohijanaka 25 H,Antanety,Antanifotsy,Antanifotsy,Vakinankaratra
Ambohijanaka 26 H,Ambohijanaka,Fitsinjovana Bakaro,Andramasina,Analamanga
Ambohijanamasoandro 10 A,Ambohijanahary Sud,Ambohimasina,Betafo,Vakinankaratra
Ambohijanamasoandro 11 G,Ambohijanamasoandro,Ambohitrambo,Arivonimamo,Itasy
Ambohijaoka 10 B,Tsiandrarafa,Ambolomoty,Marovoay,Boeny
Ambohijaoka 11 C,Maintimaso,Ambolomoty,Marovoay,Boeny
Ambohijaraka 10 C,Ambohijanaka,Ambohitrambo,Arivonimamo,Itasy
Ambohijato 10 B,Mandrarahody,Kiangara,Ankazobe,Analamanga
Ambohijato 11 C,Ambohijato Ambony,Fandriana,Fandriana,Amoron I Mania
Ambohijato 12 D,Ambohijato,Ankadinandriana,Antananarivo Avaradrano,Analamanga
Ambohijatokely 10 B,Miorikampoza,Ankadinandriana,Antananarivo Avaradrano,Analamanga
Ambohijatovo 10 A,Ambohijatovo,Belobaka,Tsiroanomandidy,Bongolava
Ambohijatovo 11 A,Ankorondrano,Analavory,Miarinarivo,Itasy
Ambohijatovo 12 A,Ambohimandroso,Vinaninony Atsimo,Faratsiho,Vakinankaratra
Ambohijatovo 13 A,Morafeno,Morafeno,Maevatanana,Betsiboka
Ambohijatovo 14 A,Avarabato Voajanahary,Ambohitromby,Ankazobe,Analamanga
Ambohijatovo 15 A,Antanifisaka,Antambolo,Arivonimamo,Itasy
Ambohijatovo 16 B,Savidahy,Morafeno,Arivonimamo,Itasy
Ambohijatovo 17 B,Ambohijatovo,Mangarano,Antsirabe II,Vakinankaratra
Ambohijatovo 18 B,Antokolava,Mahazony,Ambalavao,Haute Matsiatra
Ambohijatovo 19 B,Ambohimena,Ambohitrambo,Arivonimamo,Itasy
Ambohijatovo 20 B,Andoharanovelona,Miandrandra,Arivonimamo,Itasy
Ambohijatovo 21 B,Ambatomainty Tsaramandroso,Ampitatafika,Antanifotsy,Vakinankaratra
Ambohijatovo 22 B,Ambohijato,Alakamisy Ambohijato,Ambositra,Amoron I Mania
Ambohijatovo 23 B,Ambohimasina,Ambohibary Vohilena,Anjozorobe,Analamanga
Ambohijatovo 24 B,Andrefandrano,Tsiafahy,Antananarivo Atsimondrano,Analamanga
Ambohijatovo 25 C,Anosibe,Ankadinondry Sakay,Tsiroanomandidy,Bongolava
Ambohijatovo 26 C,Tsimiamboholahy,Fihaonana,Ankazobe,Analamanga
Ambohijatovo 27 C,Soaloka,Ambato,Ambohidratrimo,Analamanga
Ambohijatovo 28 D,Androva Atsimo,Talata Angavo,Ankazobe,Analamanga
Ambohijatovo 29 D,Andrianony Manjaka,Mahavelona,Ankazobe,Analamanga
Ambohijatovo 30 D,Ambanimaso,Ambato,Ambohidratrimo,Analamanga
Ambohijatovo 31 F,Ambohijatovo,Arivonimamo II,Arivonimamo,Itasy
Ambohijatovo 32 F,Ambohijatovo,Ambohitrandriamanitra,Manjakandriana,Analamanga
Ambohijatovo 33 H,Ambohinaorina,Betafo,Betafo,Vakinankaratra
Ambohijatovo 34 V,Ambohitsimeloka,Anosiala,Ambohidratrimo,Analamanga
Ambohijatovo 35 A,Alarobia Vatosola,Alarobia Vatosola,Andramasina,Analamanga
Ambohijavavy 10 C,Ambodimanga,Maevaranohely,Port-Berge (Boriziny-Vaovao),Sofia
Ambohijavona 10 B,Ambohijavona,Antanetibe,Anjozorobe,Analamanga
Ambohijavona 11 B,Ambolomborona,Ambatondrazaka Suburbaine,Ambatondrazaka,Alaotra Mangoro
Ambohijaza 10 D,Ambohipiandrianana,Ihadilanana,Ambositra,Amoron I Mania
Ambohijazavavy 10 D,Tsaramiafara,Anosibe Ifody,Moramanga,Alaotra Mangoro
Ambohijeno 10 B,Vohiboreka,Vohiboreka,Vondrozo,Atsimo Atsinanana
Ambohijia 10 A,Ankasakasakely,Besalampy,Besalampy,Melaky
Ambohijilona 10 C,Maromandia Ouest,Ambohinihaonana,Mananjary,Vatovavy Fitovinany
Ambohijina 10 F,Antambolo,Antambolo,Arivonimamo,Itasy
Ambohijina 11 V,Tritriva,Tritriva,Betafo,Vakinankaratra
Ambohikambana 10 B,Ambohikambana,Firavahana,Fenoarivobe,Bongolava
Ambohikambana 10 V,Ambohikambana,Behenjy,Ambatolampy,Vakinankaratra
Ambohikambana 11 B,Angodongodona Nord,Tsinjoarivo,Ambatolampy,Vakinankaratra
Ambohikambana 12 C,Tsarafara,Ambatonikolahy,Betafo,Vakinankaratra
Ambohikambana 13 C,Ambolotara,Antsampandrano,Ambatolampy,Vakinankaratra
Ambohikambana 14 C,Ambohikambana Est,Tsinjoarivo,Ambatolampy,Vakinankaratra
Ambohikambana 15 F,Marofangady,Alakamisy,Antsirabe II,Vakinankaratra
Ambohikambana 16 H,Ambohikambana,Antsahalava,Antanifotsy,Vakinankaratra
Ambohikambana Nord 10 E,Tsarazafy,Vinaninony Atsimo,Faratsiho,Vakinankaratra
Ambohikambana Sud 10 C,Ambohimahasoa I,Vinaninony Atsimo,Faratsiho,Vakinankaratra
Ambohikambany 10 F,Andapakely,Manalalondo,Arivonimamo,Itasy
Ambohikarabo 10 A,Ambahikarabo,Sandrakatsy,Mananara-Avaratra,Analanjirofo
Ambohikarabo 11 B,Ambahikarabo,Ambahoabe,Soanierana Ivongo,Analanjirofo
Ambohikely 10 B,Antanety Est,Arivonimamo II,Arivonimamo,Itasy
Ambohikely 11 B,Amboara,Imerintsiatosika,Arivonimamo,Itasy
Ambohikely 12 B,Andriamahadimby,Sandrandahy,Fandriana,Amoron I Mania
Ambohikely 13 B,Fiarenana,Anjozorobe,Anjozorobe,Analamanga
Ambohikely 14 B,Ambohimanarivo,Tanambe,Amparafaravola,Alaotra Mangoro
Ambohikely 15 C,Ambohimandroso Bemasoandro,Mahasolo,Tsiroanomandidy,Bongolava
Ambohikely 16 C,Ambohidreny,Ampangabe,Ambohidratrimo,Analamanga
Ambohikely 17 C,Est Tendro,Soanindrariny,Antsirabe II,Vakinankaratra
Ambohikely 18 D,Ambohimanarivo,Imerintsiatosika,Arivonimamo,Itasy
Ambohikely 19 D,Ambohimandroso,Antanambao,Antsirabe II,Vakinankaratra
Ambohikely 20 E,Ankadilalana Est,Miantsoarivo,Arivonimamo,Itasy
Ambohikely 21 E,Ambohitsoa,Anosibe Trimoloharano,Andramasina,Analamanga
Ambohikely 22 F,Amboara,Imerintsiatosika,Arivonimamo,Itasy
Ambohikely 23 F,Mahalavolona,Antanifotsy,Antanifotsy,Vakinankaratra
Ambohikely 24 G,Ambohikely,Ampanotokana,Ambohidratrimo,Analamanga
Ambohikely 25 A,Ilempombe,Mahazoarivo,Fandriana,Amoron I Mania
Ambohikely 26 A,Anjoma Faliarivo,Alatsinainy Bakaro,Andramasina,Analamanga
Ambohikely 27 A,Anjoma Faliarivo,Alatsinainy Bakaro,Andramasina,Analamanga
Ambohikely 28 B,Vohibe,Mahazoarivo,Fandriana,Amoron I Mania
Ambohilalona 10 A,Ampihananana,Lohariandava,Brickaville,Atsinanana
Ambohilasambo 10 B,Maharidaza,Nandihizana,Manjakandriana,Analamanga
Ambohilatsaka 10 D,Ranovao,Ranovao,Manjakandriana,Analamanga
Ambohilava 10 D,Ambohimahavony,Arivonimamo II,Arivonimamo,Itasy
Ambohilaza 10 B,Ambodilaza,Ambalavero,Manakara Atsimo,Vatovavy Fitovinany
Ambohilefoka 10 D,Ambohinapetraka,Belazao,Antsirabe II,Vakinankaratra
Ambohilovo 10 B,Ambohitrevo,Tovona,Farafangana,Atsimo Atsinanana
Ambohima 10 B,Morarano,Soavina,Betafo,Vakinankaratra
Ambohimadera 10 A,Saivaza,Saivaza,Antanambao Manampontsy,Atsinanana
Ambohimadera 10 B,Anosimanarivo,Ambongamarina,Anjozorobe,Analamanga
Ambohimadera 11 B,Tanambao,Ambohimilanja,Marolambo,Atsinanana
Ambohimadera 12 B,Ifasina II,Ifasina II,Vatomandry,Atsinanana
Ambohimadera 13 D,Maromaniry,Ambakireny,Tsaratanana,Betsiboka
Ambohimadera 14 B,Ambohimadera,Antandrokomby,Anosibe-An'ala,Alaotra Mangoro
Ambohimadinika 10 C,Madera Ambohimadinika,Ambohibary,Antsirabe II,Vakinankaratra
Ambohimadisy 10 F,Ambohimandiny,Tsaravinany,Anosibe-An'ala,Alaotra Mangoro
Ambohimahaboro 10 C,Tsaramainandro,Vavatenina,Vavatenina,Analanjirofo
Ambohimahamanina 10 F,Ambohimahamanina,Alatsinainy Ambazaha,Antananarivo Atsimondrano,Analamanga
Ambohimahamasina 10 E,Ambohimahamasina,Ambohimahamasina,Ambalavao,Haute Matsiatra
Ambohimahamasina 11 A,Marosangy,Marosangy,Mananjary,Vatovavy Fitovinany
Ambohimahamory 10 F,Miandrisoa Tsarahonenana,Ambohidranandriana,Antsirabe II,Vakinankaratra
Ambohimahandry 10 D,Ambohimahandry,Manjakandriana,Manjakandriana,Analamanga
Ambohimahandry 11 H,Ambohimahandry,Manjakandriana,Manjakandriana,Analamanga
Ambohimahasina 10 A,Mangabe,Mangabe,Toamasina II,Atsinanana
Ambohimahasoa 10 A,Anjiro,Mahabo,Mahabo,Menabe
Ambohimahasoa 11 A,Masiniloharano,Antanimandry,Antsirabe II,Vakinankaratra
Ambohimahasoa 12 A,Ifoitry,Anandravy,Vondrozo,Atsimo Atsinanana
Ambohimahasoa 13 A,Amparatanjona Ambany,Amparatanjona,Anjozorobe,Analamanga
Ambohimahasoa 14 A,Ambohimahasoa,Mangatsiotra,Manakara Atsimo,Vatovavy Fitovinany
Ambohimahasoa 15 A,Ambohimahasoa,Mangatsiotra,Manakara Atsimo,Vatovavy Fitovinany
Ambohimahasoa 16 A,Ambohimahasoa,Mangatsiotra,Manakara Atsimo,Vatovavy Fitovinany
Ambohimahasoa 17 A,Ambodirano Mangoro,Ambohidronono,Moramanga,Alaotra Mangoro
Ambohimahasoa 18 A,Vohitrindry,Namorona,Mananjary,Vatovavy Fitovinany
Ambohimahasoa 19 A,Amboasaribe,Maroadabo,Andilamena,Alaotra Mangoro
Ambohimahasoa 20 A,Ambohimanjaka,Tanananifololahy,Andilamena,Alaotra Mangoro
Ambohimahasoa 21 B,Andranotomendry,Manerinerina,Ambato Boeni,Boeny
Ambohimahasoa 22 B,Vohimasina,Ambalakely,Lalangina,Haute Matsiatra
Ambohimahasoa 23 B,Antaranjaha,Ambolomadinika,Ikongo,Vatovavy Fitovinany
Ambohimahasoa 24 B,Ankarimbary I,Vohimasy,Manakara Atsimo,Vatovavy Fitovinany
Ambohimahasoa 25 B,Ambohimasoa,Ankarimbary,Vohipeno,Vatovavy Fitovinany
Ambohimahasoa 26 B,Ankokalava,Mandialaza,Moramanga,Alaotra Mangoro
Ambohimahasoa 27 B,Antsirakambo,Ampasimadinika Manambolo,Toamasina II,Atsinanana
Ambohimahasoa 28 C,Voenana,Soavina,Ambatofinandrahana,Amoron I Mania
Ambohimahasoa 29 C,Manamisoa,Manamisoa,Ambalavao,Haute Matsiatra
Ambohimahasoa 30 C,Iarinomby,Anjoma,Ambalavao,Haute Matsiatra
Ambohimahasoa 31 C,Antako,Besoa,Ambalavao,Haute Matsiatra
Ambohimahasoa 32 C,Seranana,Andrainjato,Ambalavao,Haute Matsiatra
Ambohimahasoa 33 C,Ampanarivoana,Imerina Imady,Ambositra,Amoron I Mania
Ambohimahasoa 34 C,Mandribe,Manakana,Tsaratanana,Betsiboka
Ambohimahasoa 35 C,Ambohimahasoa,Maromiandra,Ikongo,Vatovavy Fitovinany
Ambohimahasoa 36 D,Vahambe,Vohimarina,Vohibato,Haute Matsiatra
Ambohimahasoa 37 D,Vohibolo,Fandriana,Fandriana,Amoron I Mania
Ambohimahasoa 38 D,Vatomitantana Ambatoteraka,Mahaditra,Vohibato,Haute Matsiatra
Ambohimahasoa 39 D,Ankazotokana,Ambatomena,Manjakandriana,Analamanga
Ambohimahasoa 40 D,Malazamasina,Vohitrandriana,Nosy-Varika,Vatovavy Fitovinany
Ambohimahasoa 41 D,Ambohimahasoa,Ankarongana,Befandriana Nord,Sofia
Ambohimahasoa 42 D,Ambohimahasoa,Ambohibe,Vavatenina,Analanjirofo
Ambohimahasoa 43 E,Bemahalanja,Ambalavao,Ambalavao,Haute Matsiatra
Ambohimahasoa 44 E,Ambohimahasoa,Befotaka Sud,Befotaka,Atsimo Atsinanana
Ambohimahasoa 45 F,Jerosalema Vaovao,Fiadanana,Ambohimahasoa,Haute Matsiatra
Ambohimahasoa 46 G,Alakamisy,Tsarazaza,Fandriana,Amoron I Mania
Ambohimahasoa 47 V,Ambohibary,Kianjandrakefina,Ambositra,Amoron I Mania
Ambohimahasoa 48 A,Ambatobe,Andilamena,Andilamena,Alaotra Mangoro
Ambohimahasoa 49 A,Antanjona,Marokarima,Mananjary,Vatovavy Fitovinany
Ambohimahasoa 50 A,Beadabo,Maropaika,Ivohibe,Ihorombe
Ambohimahasoa 51 B,Mahazava,Vohilava,Mananjary,Vatovavy Fitovinany
Ambohimahasoa 52 C,Anivorano,Ambodiadabo,Mandritsara,Sofia
Ambohimahatakatra 10 C,Soanirina,Kianjandrakefina,Ambositra,Amoron I Mania
Ambohimahatsara 10 A,Antarambakana,Ambohimiera,Ifanadiana,Vatovavy Fitovinany
Ambohimahatsara 11 A,Ambohimahatsara,Belemoka,Ikongo,Vatovavy Fitovinany
Ambohimahatsara 12 B,Morafeno,Ambinanindrano,Ambositra,Amoron I Mania
Ambohimahatsara 13 C,Ambohimahatsara,Fiadanana,Fandriana,Amoron I Mania
Ambohimahatsara 14 C,Maromanana,Ambohimiera,Ifanadiana,Vatovavy Fitovinany
Ambohimahatsara 15 C,Manakana Nord,Ambodinonoka,Mananjary,Vatovavy Fitovinany
Ambohimahatsara 16 C,Avaradrano,Feramanga Nord,Ambatondrazaka,Alaotra Mangoro
Ambohimahatsara 17 F,Tsaramody,Ambohidranandriana,Antsirabe II,Vakinankaratra
Ambohimahatsara 18 A,Mahazendana,Ikongo,Ikongo,Vatovavy Fitovinany
Ambohimahatsara-Ouest 10 B,Ambohimalaza,Analampasina,Ifanadiana,Vatovavy Fitovinany
Ambohimahatsara-Toby 10 B,Ambohimalaza,Analampasina,Ifanadiana,Vatovavy Fitovinany
Ambohimahatsinjo 10 A,Ambohitrakely,Ambohitrolomahitsy,Manjakandriana,Analamanga
Ambohimahatsinjo 11 A,Ambohimahatsinjo,Ambohimiera,Ifanadiana,Vatovavy Fitovinany
Ambohimahatsinjo 12 A,Ambodisatrana,Marotandrano,Mandritsara,Sofia
Ambohimahatsinjo 13 B,Mananjara Tsarahafatra,Mandoto,Mandoto,Vakinankaratra
Ambohimahatsinjo 14 B,Ambohimahatsinjo,Miantsoarivo,Arivonimamo,Itasy
Ambohimahatsinjo 15 B,Betafo,Ambohimangakely,Antananarivo Avaradrano,Analamanga
Ambohimahatsinjo 16 C,Ambohimatsinjo,Antohobe,Betafo,Vakinankaratra
Ambohimahatsinjo 17 C,Ambohimahatsinjo,Ankadinandriana,Antananarivo Avaradrano,Analamanga
Ambohimahatsinjo 18 E,Ambiabe I,Ifanadiana,Ifanadiana,Vatovavy Fitovinany
Ambohimahatsinjo 19 E,Ambohimahandry,Manjakandriana,Manjakandriana,Analamanga
Ambohimahatsinjo 20 G,Ambalatokana,Ambatofahavalo,Antananarivo Atsimondrano,Analamanga
Ambohimahatsinjo 21 A,Iharamalaza,Ambohimiadana,Andramasina,Analamanga
Ambohimahatsinjo 22 A,Manampandrana,Marotoko,Ifanadiana,Vatovavy Fitovinany
Ambohimahatsinjo 23 B,Ambohitsara I,Tsaratanana,Ifanadiana,Vatovavy Fitovinany
Ambohimahatsinjo 24 B,Ambololona,Ambohinihaonana,Mananjary,Vatovavy Fitovinany
Ambohimahatsinjo 25 B,Mahavanona,Onilahy,Manakara Atsimo,Vatovavy Fitovinany
Ambohimahatsinjo 26 B,Befotaka Nord,Befotaka Nord,Analalava,Sofia
Ambohimahavanana 10 C,Ambodiara,Ifanadiana,Ifanadiana,Vatovavy Fitovinany
Ambohimahavela 10 B,Ambodimadiro IIi,Malakialina,Mampikony,Sofia
Ambohimahavelo 10 A,Ambohitsara II,Saharefo,Manakara Atsimo,Vatovavy Fitovinany
Ambohimahavelo 11 A,Maromandia,Marokarima,Mananjary,Vatovavy Fitovinany
Ambohimahavelo 12 B,Ambohimahavelona,Tolongoina,Ikongo,Vatovavy Fitovinany
Ambohimahavelo 13 B,Ambatolampy,Fenomby,Manakara Atsimo,Vatovavy Fitovinany
Ambohimahavelo 14 A,Ambalapaiso,Ambohinihaonana,Mananjary,Vatovavy Fitovinany
Ambohimahavelo 15 A,Manarilefona,Vatohandrina,Mananjary,Vatovavy Fitovinany
Ambohimahavelona 10 A,Ambohimahavelona,Ambatolampy,Tsiroanomandidy,Bongolava
Ambohimahavelona 11 A,Ambalavao,Fiadanana,Fandriana,Amoron I Mania
Ambohimahavelona 12 A,Betampo Nord,Analampasina,Ifanadiana,Vatovavy Fitovinany
Ambohimahavelona 13 A,Tsifenokataka,Belemoka,Ikongo,Vatovavy Fitovinany
Ambohimahavelona 14 A,Ambatovory,Antsindra,Ifanadiana,Vatovavy Fitovinany
Ambohimahavelona 15 A,Ambohimahavelona,Anororo,Amparafaravola,Alaotra Mangoro
Ambohimahavelona 16 A,Ambohimahavelona,Marotandrano,Mandritsara,Sofia
Ambohimahavelona 17 B,Amboangy,Tsinjomitondraka,Port-Berge (Boriziny-Vaovao),Sofia
Ambohimahavelona 18 B,Betampo Nord,Analampasina,Ifanadiana,Vatovavy Fitovinany
Ambohimahavelona 19 B,Analamanana,Antoetra,Ambositra,Amoron I Mania
Ambohimahavelona 20 B,Ampasimpotsy,Ranomafana,Ifanadiana,Vatovavy Fitovinany
Ambohimahavelona 21 B,Lavakianja Sud,Androrangavola,Ifanadiana,Vatovavy Fitovinany
Ambohimahavelona 22 B,Ambalavary,Beanana,Amparafaravola,Alaotra Mangoro
Ambohimahavelona 23 B,Antsatrankely,Ambodiadabo M,Bealanana,Sofia
Ambohimahavelona 24 C,Andranoteraka,Befandriana Sud,Morombe,Atsimo Andrefana
Ambohimahavelona 25 C,Ambatonakanga,Fiadanana,Fandriana,Amoron I Mania
Ambohimahavelona 26 C,Kelilalina,Kelilalina,Ifanadiana,Vatovavy Fitovinany
Ambohimahavelona 27 C,Ambohimahavelona,Marotoko,Ifanadiana,Vatovavy Fitovinany
Ambohimahavelona 28 C,Sakoamadinika,Sakoamadinika,Tsaratanana,Betsiboka
Ambohimahavelona 29 C,Andratambe,Ambodimangavalo,Vavatenina,Analanjirofo
Ambohimahavelona 30 D,Ankazo,Mahitsy,Ambohidratrimo,Analamanga
Ambohimahavelona 31 D,Vohitsara,Kalandy,Mandritsara,Sofia
Ambohimahavelona 32 E,Ambohimahavelona,Mandritsara,Mandritsara,Sofia
Ambohimahavelona 33 H,Ambohimahavelona,Mahitsy,Ambohidratrimo,Analamanga
Ambohimahavelona 34 A,Ambohinamboarina,Ambinanitromby,Ikongo,Vatovavy Fitovinany
Ambohimahavelona 35 A,Ambohimahavelona,Antanambaon'amberina,Mandritsara,Sofia
Ambohimahavelona 36 A,Ambodibonary,Kianjavato,Mananjary,Vatovavy Fitovinany
Ambohimahavelona 37 A,Mahasoa,Ambatofotsy,Ikongo,Vatovavy Fitovinany
Ambohimahavelona 38 A,Ambahimarana,Maromiandra,Ikongo,Vatovavy Fitovinany
Ambohimahavelona 39 B,Analamarina,Tsaratanana,Ifanadiana,Vatovavy Fitovinany
Ambohimahavelona 40 D,Antsiraka,Marotandrano,Mandritsara,Sofia
Ambohimahavelona Est 10 B,Ambodirafia Est,Tsaratanana,Ifanadiana,Vatovavy Fitovinany
Ambohimahavelona Nord 10 B,Ambohimahavelona,Talata Volonondry,Antananarivo Avaradrano,Analamanga
Ambohimahavelona Nord 11 B,Ampasimpotsy,Androrangavola,Ifanadiana,Vatovavy Fitovinany
Ambohimahavelona Sud 10 B,Ampasimpotsy,Androrangavola,Ifanadiana,Vatovavy Fitovinany
Ambohimahavelona Sud 11 C,Ambohimahavelona,Talata Volonondry,Antananarivo Avaradrano,Analamanga
Ambohimahavelona-Nord 10 B,Ambohimahavelona,Ambohimiera,Ifanadiana,Vatovavy Fitovinany
Ambohimahavelona-Sud 10 B,Sahasomangana,Ambohimiera,Ifanadiana,Vatovavy Fitovinany
Ambohimahavony 10 B,Ampihiaka,Alatsinainy Bakaro,Andramasina,Analamanga
Ambohimahavony 11 B,Moratelo,Morarano Chrome,Amparafaravola,Alaotra Mangoro
Ambohimahavony 12 C,Sabotsy,Sabotsy Ambohitromby,Andramasina,Analamanga
Ambohimahazo 10 A,Soavina,Soavina,Betafo,Vakinankaratra
Ambohimahazo 11 B,Ambohimahazo Mahasoa,Fierenana,Tsiroanomandidy,Bongolava
Ambohimahazo 12 B,Ambohijanakony,Ambohimanambola,Betafo,Vakinankaratra
Ambohimahazo 13 C,Antanambao,Ambohimiarivo,Antsirabe II,Vakinankaratra
Ambohimahazo 14 C,Ambohimahazo,Antsampandrano,Ambatolampy,Vakinankaratra
Ambohimahazo 15 F,Mandimbisoa,Imito,Fandriana,Amoron I Mania
Ambohimahazo 16 V,Ambohimahazo,Ambohimahazo,Manandriana,Amoron I Mania
Ambohimahery 10 B,Antanety,Miarinarivo II,Miarinarivo,Itasy
Ambohimahery 11 F,Ambohitsaratelo,Ambano,Antsirabe II,Vakinankaratra
Ambohimahiratra 10 A,Miadana,Miarinarivo II,Miarinarivo,Itasy
Ambohimahitsy 10 A,Belambo,Belambo Firaisana,Ambatolampy,Vakinankaratra
Ambohimahitsy 11 C,Andramasina,Andramasina,Andramasina,Analamanga
Ambohimahitsy 12 E,Ankadivola,Ambohijanaka,Antananarivo Atsimondrano,Analamanga
Ambohimahitsy 13 V,Ambohimahitsy,Ambohimangakely,Antananarivo Avaradrano,Analamanga
Ambohimahitsy 14 B,Ambohimahitsy Telonorefy,Ambohimiadana,Andramasina,Analamanga
Ambohimalakona 10 D,Ambohimalakony,Ambohimahazo,Manandriana,Amoron I Mania
Ambohimalala 10 B,Ambohitsara II,Saharefo,Manakara Atsimo,Vatovavy Fitovinany
Ambohimalandy 10 A,Ampasimbola,Betsizaraina,Mahanoro,Atsinanana
Ambohimalandy 11 H,Ambohimalandy,Ankiabe-Salohy,Mandritsara,Sofia
Ambohimalaz 39  ,Anketsihetsy,Begogo,Iakora,Ihorombe
Ambohimalaza 10 A,Ambohimalaza,Manampatrana,Ikongo,Vatovavy Fitovinany
Ambohimalaza 11 A,Ambodilalona,Befotaka,Mahanoro,Atsinanana
Ambohimalaza 12 A,Manakana I,Vohitrandriana,Nosy-Varika,Vatovavy Fitovinany
Ambohimalaza 13 A,Fierenana,Fierenana,Moramanga,Alaotra Mangoro
Ambohimalaza 14 A,Amparihy,Matsondakana,Befandriana Nord,Sofia
Ambohimalaza 15 B,Igararana,Miarinarivo II,Miarinarivo,Itasy
Ambohimalaza 16 B,Iambara,Androy,Lalangina,Haute Matsiatra
Ambohimalaza 17 B,Ambohimalaza,Ifanirea,Ikongo,Vatovavy Fitovinany
Ambohimalaza 18 B,Andrairay,Bekatra,Manakara Atsimo,Vatovavy Fitovinany
Ambohimalaza 19 B,Ambatobe,Antsahalalina,Manjakandriana,Analamanga
Ambohimalaza 20 B,Ambohimalaza,Ambalapaiso II,Marolambo,Atsinanana
